backend,model,quant,scenario,assertionsPassed,assertionsFailed,errored,toolCallCount,verdict,toolTP,toolFP,toolFN,precision,recall,f1
,,,01-now,1,1,false,1,partial,1,0,20,1.0000,0.0476,0.0909
,,,02-calc,1,1,false,6,partial,1,0,20,1.0000,0.0476,0.0909
,,,03-read,1,1,false,6,partial,1,0,20,1.0000,0.0476,0.0909
,,,04-list,1,1,false,6,partial,1,0,20,1.0000,0.0476,0.0909
,,,meeting-notes-summary,2,2,false,12,partial,2,0,20,1.0000,0.0909,0.1667
,,,shopping-list-budget,0,5,false,0,fail,0,0,22,0.0000,0.0000,0.0000
,,,parallel-readme-comparison,1,2,false,18,partial,2,0,19,1.0000,0.0952,0.1739
,,,oversize-tool-output,2,1,false,6,partial,1,0,20,1.0000,0.0476,0.0909
,,,structured-json-extraction,0,1,false,6,fail,1,1,19,0.5000,0.0500,0.0909
