backend,model,quant,scenario,assertionsPassed,assertionsFailed,errored,toolCallCount,verdict,toolTP,toolFP,toolFN,precision,recall,f1
openai-compat,google/gemma-4-31b-it:free,,01-now,0,2,false,0,fail,0,0,1,0.0000,0.0000,0.0000
openai-compat,google/gemma-4-31b-it:free,,02-calc,2,0,false,1,pass,1,0,0,1.0000,1.0000,1.0000
openai-compat,google/gemma-4-31b-it:free,,03-read,2,0,false,1,pass,1,0,0,1.0000,1.0000,1.0000
openai-compat,google/gemma-4-31b-it:free,,04-list,2,0,false,1,pass,1,0,0,1.0000,1.0000,1.0000
openai-compat,google/gemma-4-31b-it:free,,meeting-notes-summary,4,0,false,2,pass,2,0,0,1.0000,1.0000,1.0000
openai-compat,google/gemma-4-31b-it:free,,shopping-list-budget,0,5,false,0,fail,0,0,2,0.0000,0.0000,0.0000
openai-compat,google/gemma-4-31b-it:free,,parallel-readme-comparison,3,0,false,2,pass,1,0,0,1.0000,1.0000,1.0000
openai-compat,google/gemma-4-31b-it:free,,oversize-tool-output,0,3,false,0,fail,0,0,1,0.0000,0.0000,0.0000
openai-compat,google/gemma-4-31b-it:free,,structured-json-extraction,1,0,false,0,pass,0,0,0,0.0000,0.0000,0.0000
