backend,model,quant,scenario,assertionsPassed,assertionsFailed,errored,toolCallCount,verdict,toolTP,toolFP,toolFN,precision,recall,f1
,,,01-now,1,1,false,6,partial,1,0,3,1.0000,0.2500,0.4000
,,,02-calc,1,1,false,6,partial,1,0,3,1.0000,0.2500,0.4000
,,,03-read,1,1,false,6,partial,1,0,3,1.0000,0.2500,0.4000
,,,04-list,1,1,false,6,partial,1,0,3,1.0000,0.2500,0.4000
,,,meeting-notes-summary,1,3,false,6,partial,1,0,4,1.0000,0.2000,0.3333
,,,shopping-list-budget,2,3,false,6,partial,1,0,4,1.0000,0.2000,0.3333
,,,parallel-readme-comparison,2,1,false,12,partial,1,0,3,1.0000,0.2500,0.4000
,,,oversize-tool-output,2,1,false,6,partial,1,0,3,1.0000,0.2500,0.4000
,,,structured-json-extraction,0,1,false,0,fail,0,0,3,0.0000,0.0000,0.0000
