backend,model,quant,scenario,assertionsPassed,assertionsFailed,errored,toolCallCount,verdict,toolTP,toolFP,toolFN,precision,recall,f1
ollama,qwen3.5-9b,,01-now,2,0,false,1,pass,1,0,0,1.0000,1.0000,1.0000
ollama,qwen3.5-9b,,02-calc,2,0,false,1,pass,1,0,0,1.0000,1.0000,1.0000
ollama,qwen3.5-9b,,03-read,2,0,false,1,pass,1,0,0,1.0000,1.0000,1.0000
ollama,qwen3.5-9b,,04-list,2,0,false,1,pass,1,0,0,1.0000,1.0000,1.0000
ollama,qwen3.5-9b,,meeting-notes-summary,3,1,false,2,partial,2,0,0,1.0000,1.0000,1.0000
ollama,qwen3.5-9b,,shopping-list-budget,5,0,false,2,pass,2,0,0,1.0000,1.0000,1.0000
ollama,qwen3.5-9b,,parallel-readme-comparison,3,0,false,2,pass,1,0,0,1.0000,1.0000,1.0000
ollama,qwen3.5-9b,,oversize-tool-output,2,1,false,1,partial,1,0,0,1.0000,1.0000,1.0000
ollama,qwen3.5-9b,,structured-json-extraction,1,0,false,0,pass,0,0,0,0.0000,0.0000,0.0000
