backend,model,quant,scenario,assertionsPassed,assertionsFailed,errored,toolCallCount,verdict,toolTP,toolFP,toolFN,precision,recall,f1
ollama,gemma3-4b-tools,,01-now,0,2,false,0,fail,0,0,1,0.0000,0.0000,0.0000
ollama,gemma3-4b-tools,,02-calc,0,2,false,0,fail,0,0,1,0.0000,0.0000,0.0000
ollama,gemma3-4b-tools,,03-read,0,2,false,0,fail,0,0,1,0.0000,0.0000,0.0000
ollama,gemma3-4b-tools,,04-list,0,2,false,0,fail,0,0,1,0.0000,0.0000,0.0000
ollama,gemma3-4b-tools,,meeting-notes-summary,0,4,false,0,fail,0,0,2,0.0000,0.0000,0.0000
ollama,gemma3-4b-tools,,shopping-list-budget,0,5,false,0,fail,0,0,2,0.0000,0.0000,0.0000
ollama,gemma3-4b-tools,,parallel-readme-comparison,0,3,false,0,fail,0,0,1,0.0000,0.0000,0.0000
ollama,gemma3-4b-tools,,oversize-tool-output,0,3,false,0,fail,0,0,1,0.0000,0.0000,0.0000
ollama,gemma3-4b-tools,,structured-json-extraction,0,1,false,0,fail,0,0,0,0.0000,0.0000,0.0000
