backend,model,quant,scenario,assertionsPassed,assertionsFailed,errored,toolCallCount,verdict,toolTP,toolFP,toolFN,precision,recall,f1
openai-compat,google/gemma-4-31b-it:free,,01-now,2,0,false,1,pass,1,0,0,1.0000,1.0000,1.0000
openai-compat,google/gemma-4-31b-it:free,,02-calc,0,0,false,0,fail,0,0,1,0.0000,0.0000,0.0000
openai-compat,google/gemma-4-31b-it:free,,03-read,2,0,false,1,pass,1,0,0,1.0000,1.0000,1.0000
openai-compat,google/gemma-4-31b-it:free,,04-list,0,0,false,1,fail,1,0,0,1.0000,1.0000,1.0000
openai-compat,google/gemma-4-31b-it:free,,meeting-notes-summary,1,3,false,1,partial,1,0,1,1.0000,0.5000,0.6667
openai-compat,google/gemma-4-31b-it:free,,shopping-list-budget,0,0,false,1,fail,1,0,1,1.0000,0.5000,0.6667
openai-compat,google/gemma-4-31b-it:free,,parallel-readme-comparison,0,3,false,0,fail,0,0,1,0.0000,0.0000,0.0000
openai-compat,google/gemma-4-31b-it:free,,oversize-tool-output,0,0,false,0,fail,0,0,1,0.0000,0.0000,0.0000
openai-compat,google/gemma-4-31b-it:free,,structured-json-extraction,0,0,false,0,fail,0,0,0,0.0000,0.0000,0.0000
