backend,model,quant,scenario,assertionsPassed,assertionsFailed,errored,toolCallCount,verdict,toolTP,toolFP,toolFN,precision,recall,f1
ollama,gemma4-e4b,,01-now,2,0,false,1,pass,1,0,0,1.0000,1.0000,1.0000
ollama,gemma4-e4b,,02-calc,2,0,false,1,pass,1,0,0,1.0000,1.0000,1.0000
ollama,gemma4-e4b,,03-read,2,0,false,1,pass,1,0,0,1.0000,1.0000,1.0000
ollama,gemma4-e4b,,04-list,2,0,false,1,pass,1,0,0,1.0000,1.0000,1.0000
ollama,gemma4-e4b,,meeting-notes-summary,4,0,false,2,pass,2,0,0,1.0000,1.0000,1.0000
ollama,gemma4-e4b,,shopping-list-budget,5,0,false,2,pass,2,0,0,1.0000,1.0000,1.0000
ollama,gemma4-e4b,,parallel-readme-comparison,3,0,false,2,pass,1,0,0,1.0000,1.0000,1.0000
ollama,gemma4-e4b,,oversize-tool-output,2,1,false,1,partial,1,0,0,1.0000,1.0000,1.0000
ollama,gemma4-e4b,,structured-json-extraction,0,1,false,0,fail,0,0,0,0.0000,0.0000,0.0000
